
001000  00000  01000  00000  00000 101100  	496	ADDI	  ,R8  ,R0  ,#44
001000  00000  00110  00000  00000 000001  	500	ADDI	  ,R6  ,R0  ,#1
101011  00000  00110  00000  01001 011000  	504	SW	  ,R6  ,600(R0)
001000  00000  00111  00000  00000 000100  	508	ADDI	  ,R7  ,R0  ,#4
101011  00111  00110  00000  01001 011000  	512	SW	  ,R6  ,600(R7)
001000  00000  01010  00000  00000 001000  	516	ADDI	  ,R10  ,R0  ,#8
001000  01010  00011  11111  11111 111000  	520	ADDI	  ,R3  ,R10  ,#-8
100011  00011  00001  00000  01001 011000  	524	LW	  ,R1  ,600(R3)
001000  01010  00100  11111  11111 111100  	528	ADDI	  ,R4  ,R10  ,#-4
100011  00100  00010  00000  01001 011000  	532	LW	  ,R2  ,600(R4)
000000  00001  00010  00101  00000 100000  	536	ADD	  ,R5  ,R1  ,R2
101011  01010  00101  00000  01001 011000  	540	SW	  ,R5  ,600(R10)
001000  01010  01010  00000  00000 000100  	544	ADDI	  ,R10  ,R10  ,#4
000100  01010  01000  00000  00000 000001  	548	BEQ	  ,R8  ,R10  ,#1
000010  00000  00000  00000  00010 000010  	552	J	  ,#130
000000  00000  00000  00000  00000 000000  	556	NOP	
000000  00000  01101  00110  10100 000000  	560	NOP	
000000  00000  00000  00000  00000 000000  	564	NOP	
000000  00000  00000  00000  00000 001101  	568	BREAK	
